"","plot","ID","fenced","shannon","notes","year","grazing","mowing","fertilization","temp","precipitation"
"1",1,1,TRUE,1.60033144887612,"",2013,172.100514034671,0,100.081673506173,14.9116614722226,667.081910079066
"2",1,2,TRUE,1.17381541322372,"",2013,172.100514034671,0,100.081673506173,14.9116614722226,667.081910079066
"3",1,3,FALSE,0.277939117252322,"",2013,172.100514034671,0,100.081673506173,14.9116614722226,667.081910079066
"4",1,4,FALSE,0.851011824025254,"",2013,172.100514034671,0,100.081673506173,14.9116614722226,667.081910079066
"5",2,5,TRUE,2.42465520643696,"",2013,298.832078210572,0,4.88721080928071,15.612054116809,669.963746504817
"6",2,6,TRUE,2.47223077059757,"",2013,298.832078210572,0,4.88721080928071,15.612054116809,669.963746504817
"7",2,7,FALSE,1.2265213945938,"",2013,298.832078210572,0,4.88721080928071,15.612054116809,669.963746504817
"8",2,8,FALSE,1.14186765305689,"",2013,298.832078210572,0,4.88721080928071,15.612054116809,669.963746504817
"9",3,9,TRUE,2.72824460704392,"",2013,30.0797462787021,4,17.0007432709627,14.3192006944961,657.758913532317
"10",3,10,TRUE,2.66298247615659,"",2013,30.0797462787021,4,17.0007432709627,14.3192006944961,657.758913532317
"11",3,11,FALSE,2.01552257337272,"",2013,30.0797462787021,4,17.0007432709627,14.3192006944961,657.758913532317
"12",3,12,FALSE,2.12371368967646,"",2013,30.0797462787021,4,17.0007432709627,14.3192006944961,657.758913532317
"13",4,13,TRUE,2.26095313711301,"",2013,2.55106996638176,5,99.8235823630975,15.20093130084,668.139943453139
"14",4,15,FALSE,1.28364495229513,"",2013,2.55106996638176,5,99.8235823630975,15.20093130084,668.139943453139
"15",4,16,FALSE,1.85671765906806,"",2013,2.55106996638176,5,99.8235823630975,15.20093130084,668.139943453139
"16",5,17,TRUE,2.33679677673076,"",2013,484.499572362974,0,25.5603507386098,15.0758651036613,660.352995548975
"17",5,18,TRUE,2.38437234089138,"",2013,484.499572362974,0,25.5603507386098,15.0758651036613,660.352995548975
"18",5,19,FALSE,1.08613534911084,"",2013,484.499572362974,0,25.5603507386098,15.0758651036613,660.352995548975
"19",5,20,FALSE,1.00148160757393,"",2013,484.499572362974,0,25.5603507386098,15.0758651036613,660.352995548975
"20",6,21,TRUE,2.59815575123254,"",2013,1.43303412195725,5,37.1679812088343,15.2023666043538,681.819540138813
"21",6,22,TRUE,2.5328936203452,"",2013,1.43303412195725,5,37.1679812088343,15.2023666043538,681.819540138813
"22",6,23,FALSE,2.10674635886526,"",2013,1.43303412195725,5,37.1679812088343,15.2023666043538,681.819540138813
"23",6,24,FALSE,2.21493747516899,"",2013,1.43303412195725,5,37.1679812088343,15.2023666043538,681.819540138813
"24",7,25,TRUE,2.29680947685593,"",2013,9.60413861778921,4,79.1987292541166,13.6472166065186,640.667910445279
"25",7,26,TRUE,1.87029344120353,"",2013,9.60413861778921,4,79.1987292541166,13.6472166065186,640.667910445279
"26",7,27,FALSE,1.22609688377856,"",2013,9.60413861778921,4,79.1987292541166,13.6472166065186,640.667910445279
"27",7,28,FALSE,1.79916959055149,"",2013,9.60413861778921,4,79.1987292541166,13.6472166065186,640.667910445279
"28",8,29,TRUE,2.36745401396194,"",2013,283.402681730875,0,2.07270368679667,13.7445747017297,620.368846639631
"29",8,30,TRUE,2.41502957812256,"",2013,283.402681730875,0,2.07270368679667,13.7445747017297,620.368846639631
"30",8,31,FALSE,1.17492972361768,"",2013,283.402681730875,0,2.07270368679667,13.7445747017297,620.368846639631
"31",8,32,FALSE,1.09027598208077,"",2013,283.402681730875,0,2.07270368679667,13.7445747017297,620.368846639631
"32",9,33,TRUE,2.69563368861575,"",2013,12.4537394291446,4,6.26300482959104,14.3728708659134,633.132429207378
"33",9,34,TRUE,2.63037155772841,"",2013,12.4537394291446,4,6.26300482959104,14.3728708659134,633.132429207378
"34",9,35,FALSE,2.05409134308489,"",2013,12.4537394291446,4,6.26300482959104,14.3728708659134,633.132429207378
"35",9,36,FALSE,2.16228245938863,"",2013,12.4537394291446,4,6.26300482959104,14.3728708659134,633.132429207378
"36",10,37,TRUE,2.50882583608892,"",2013,3.37581068463308,3,10.7539617984397,14.9278833511399,599.388140165829
"37",10,38,TRUE,2.08230980043653,"",2013,3.37581068463308,3,10.7539617984397,14.9278833511399,599.388140165829
"38",10,39,FALSE,1.51279925352198,"",2013,3.37581068463308,3,10.7539617984397,14.9278833511399,599.388140165829
"39",10,40,FALSE,2.08587196029491,"",2013,3.37581068463308,3,10.7539617984397,14.9278833511399,599.388140165829
"40",11,41,TRUE,2.64606019679033,"",2013,7.31006373205874,3,1.23732595663955,13.1154442775719,623.971385634712
"41",11,43,FALSE,1.77681965653667,"",2013,7.31006373205874,3,1.23732595663955,13.1154442775719,623.971385634712
"42",11,44,FALSE,1.69216591499975,"",2013,7.31006373205874,3,1.23732595663955,13.1154442775719,623.971385634712
"43",12,46,TRUE,1.85969055390421,"",2013,96.4593723086481,0,31.0913081160658,14.3808169722166,645.345334746833
"44",12,47,FALSE,1.10800985852634,"",2013,96.4593723086481,0,31.0913081160658,14.3808169722166,645.345334746833
"45",12,48,FALSE,1.21620097483007,"",2013,96.4593723086481,0,31.0913081160658,14.3808169722166,645.345334746833
