"plot","year","grazing","mowing","fertilization","temp","precipitation"
1,"2013",172.100514034671,0,100.081673506173,14.9116614722226,667.081910079066
1,"2014",43.267788630867,1,8.05352546556035,15.1136305809123,659.617529368421
2,"2013",298.832078210572,0,4.88721080928071,15.612054116809,669.963746504817
2,"2014",2.53365273830677,4,17.5392704606161,15.1158934913183,649.581455091673
3,"2013",30.0797462787021,4,17.0007432709627,14.3192006944961,657.758913532317
3,"2014",5.79277256895852,4,1.99761713388574,15.1334485268396,667.012104358121
4,"2013",2.55106996638176,5,99.8235823630975,15.20093130084,668.139943453139
4,"2014",15.9461894581413,3,16.9252300417233,15.5722321447672,659.898033982224
5,"2013",484.499572362974,0,25.5603507386098,15.0758651036613,660.352995548975
5,"2014",1.00496072809209,3,9.37182888529142,14.8046384285487,655.662353750342
6,"2013",1.43303412195725,5,37.1679812088343,15.2023666043538,681.819540138813
6,"2014",146.507337653964,1,112.197743121962,14.5310334525237,666.76756597314
7,"2013",9.60413861778921,4,79.1987292541166,13.6472166065186,640.667910445279
7,"2014",5.82410162841519,4,1.23062176508016,13.4515869201029,635.007739170534
8,"2013",283.402681730875,0,2.07270368679667,13.7445747017297,620.368846639631
8,"2014",102.387641304826,0,84.5382649146728,14.4361152445719,623.989919683079
9,"2013",12.4537394291446,4,6.26300482959104,14.3728708659134,633.132429207378
9,"2014",104.562594663286,0,135.796109929199,14.1569878411045,630.084774144104
10,"2013",3.37581068463308,3,10.7539617984397,14.9278833511399,599.388140165829
10,"2014",448.136338211352,0,1.67264506781176,14.1060546432837,628.087279041061
11,"2013",7.31006373205874,3,1.23732595663955,13.1154442775719,623.971385634712
11,"2014",625.056139533617,0,14.0911610546713,13.4037479201214,621.70773998939
12,"2013",96.4593723086481,0,31.0913081160658,14.3808169722166,645.345334746833
12,"2014",12.5573030137891,4,1.09060078114446,13.9363967678815,624.696999325864
